rnd_np,rnd_ds,Average,M1,M2
128,128,0.4864231107763982,0.48945181897482026,0.4898640817158665
128,129,0.49598943403644774,0.49905285681103545,0.4992149495634758
128,130,0.49519690108165476,0.4989182444353391,0.5008424033059764
128,131,0.4969384353858871,0.49862329885284673,0.4994659044801165
128,132,0.49598852068859955,0.49837966786949595,0.49825599303402524
128,133,0.4874955791761585,0.4888988183966866,0.4897698621919594
128,134,0.4815061320698367,0.4887438879184803,0.49013642137190416
128,135,0.4815153965197113,0.4856310939882834,0.48685385492743877
128,136,0.47387564742133303,0.4783682179605643,0.47880761606329836
128,137,0.49427421587753645,0.50121885316854,0.5028655314151675
129,128,0.47010528935940527,0.4783539061381365,0.4813933708788426
129,129,0.49656278250152275,0.5021660009114667,0.5025452239221079
129,130,0.4867382791189515,0.4904882884112524,0.4913805025300849
129,131,0.4898318885222824,0.4915727991577903,0.49201812477608353
129,132,0.4897292853106827,0.4956841431542737,0.4966231217554424
129,133,0.48968354458095054,0.49253893414270006,0.4926613046057586
129,134,0.4895762984685376,0.4950193874639556,0.4946152270981027
129,135,0.4807708250364189,0.485875887581265,0.4876421542387249
129,136,0.49426301020034413,0.4970460471996998,0.4984150050481989
129,137,0.4919969938599382,0.49509536465299914,0.495301298749494
130,128,0.489680251190926,0.49428287935970144,0.49519458185482507
130,129,0.4891334069701325,0.49520921860754735,0.4944781727280114
130,130,0.48644224961931615,0.49046187229958377,0.49122957087668234
130,131,0.48972931499221417,0.49469972731518197,0.49576178723245173
130,132,0.4959732875955164,0.5028542532164573,0.5033150587492676
130,133,0.48504081553392125,0.48986866945880375,0.49061699841379747
130,134,0.5065330762311916,0.5096217226389876,0.5110919660326274
130,135,0.49504345062764205,0.4991290216048322,0.5004709648534704
130,136,0.4942148939176108,0.4982588451122113,0.4995227630519584
130,137,0.5087032835477113,0.5109718132270389,0.5123064950968209
131,128,0.4803953606851226,0.4832283037143794,0.48448923427476576
131,129,0.49109880673668177,0.4950422972640071,0.49617565509566497
131,130,0.4809301517585804,0.4839666395701971,0.48590686207928807
131,131,0.4754861534025493,0.4778458349695156,0.4796076853078143
131,132,0.48386967065021436,0.4875120576792645,0.4890298368738929
131,133,0.4861679284741289,0.48723838832178823,0.48859111063567784
131,134,0.4894138034557449,0.4910095604044427,0.4926616428116941
131,135,0.4759374684155194,0.47969641248841344,0.4795314521917242
131,136,0.4861772482054209,0.4870232855473242,0.4855049916726847
131,137,0.48099420533767673,0.485656489518737,0.4863279756234588
132,128,0.4968480714755545,0.5027665603053826,0.5039665121951183
132,129,0.5030978679728986,0.5058411091161618,0.505844282390163
132,130,0.5076590647507667,0.5109642106391444,0.5125488456702763
132,131,0.49411991315239073,0.4991779372938366,0.4999573956946386
132,132,0.4882052409916001,0.49358230570798034,0.4955960253549726
132,133,0.5000547438162993,0.5024647337250745,0.5016621260503149
132,134,0.5076138812558628,0.5103893583073689,0.510668167663996
132,135,0.5073386458644986,0.5117456980999113,0.5117722693673467
132,136,0.4999153611572137,0.5034440420170841,0.5056971896396909
132,137,0.500760728809548,0.5035849742899117,0.5048351218252443
133,128,0.5171776068487001,0.5217933533563149,0.5220624991372771
133,129,0.5014637858793553,0.5020101494654247,0.5028390139483555
133,130,0.49904480028735376,0.5042487141787947,0.5048455154834695
133,131,0.49222618608357427,0.4922215621338519,0.4921583801070807
133,132,0.5002094353124937,0.5043337874173731,0.5053051849512018
133,133,0.4990853970414454,0.4993583078606231,0.49843840410520945
133,134,0.4999738649971821,0.5020051422352761,0.5024039668384745
133,135,0.4887798365089079,0.4932023844203215,0.49488545456911937
133,136,0.5063904891812032,0.5081604852128103,0.5094173161757549
133,137,0.5033715284639402,0.5073957524441413,0.507475323121974
134,128,0.49779751848967163,0.5031221788316428,0.5055746583213381
134,129,0.4987838270639672,0.5014882283374661,0.5029543176490318
134,130,0.4950656634091035,0.4982309131494557,0.5004830856613243
134,131,0.4880422125474621,0.4948663465495155,0.49551600605103835
134,132,0.5006442366669381,0.5068149908183368,0.5081781938500405
134,133,0.5038451167202163,0.5075372395845265,0.5099719057584939
134,134,0.4787812488575721,0.48239525875465894,0.4835903024717269
134,135,0.5018440196542829,0.5066649979499241,0.5080136065208668
134,136,0.4879504103826478,0.4910978535495417,0.49272008880296736
134,137,0.4977094094017727,0.5009678028480057,0.5028739678328454
135,128,0.4944622670401658,0.4961022714938844,0.49648031846206064
135,129,0.5059017113348883,0.5089310280824695,0.5098670820037888
135,130,0.4894972826766857,0.493334211601909,0.4943824599081104
135,131,0.502125086660876,0.5059802682590837,0.5073360715665425
135,132,0.4953181603568792,0.4999429132539931,0.5005782857556511
135,133,0.4854811448594999,0.4897782263244717,0.49119127799551177
135,134,0.4862053727398167,0.489983878915709,0.49033949986515923
135,135,0.500606191528832,0.5034215480075322,0.5041651235623785
135,136,0.510022742550605,0.5118566152669843,0.5122290117881849
135,137,0.5031019739228039,0.507014788782212,0.5081025359321091
136,128,0.49989062129184314,0.5049841468386598,0.5063785396009698
136,129,0.4905948919324133,0.4964841797987332,0.49834060289878107
136,130,0.5080016267925882,0.5124589777171604,0.5137848704817847
136,131,0.5092407477662716,0.5160178631621829,0.5166878480598059
136,132,0.5067600554094048,0.5100830066164356,0.5113866824684756
136,133,0.4855926884817734,0.48999540668313524,0.4910094505538686
