rnd_np,rnd_ds,Average,M1,M2
128,128,0.4863440852115377,0.4922632085957314,0.4927480497438085
128,129,0.46608788627655945,0.4716605842881038,0.47496007174114885
128,130,0.4701359906170783,0.4774800144189232,0.47876968033274137
128,131,0.49440006335620346,0.5059108347641004,0.5091750343691742
128,132,0.4939581707770289,0.5007161402426561,0.5014608761200727
128,133,0.45357763063165,0.4634569863996578,0.4635672773598147
128,134,0.4907059219991477,0.4938676397359408,0.4955957597619343
128,135,0.4766741864133124,0.48397176622905136,0.48612743049648416
128,136,0.4536149006120026,0.45986281748654995,0.4634575128258035
128,137,0.47062139394783786,0.468066836016494,0.47359308779683634
129,128,0.5033790164765539,0.5110380015223619,0.5119367582186632
129,129,0.508477659916747,0.5132674225615044,0.5135488251068787
129,130,0.49236865705167315,0.4967263254066229,0.4994026747427592
129,131,0.5119465584906251,0.5161162750962076,0.5181437788037908
129,132,0.5092282652557116,0.5158765042582945,0.5191233657553437
129,133,0.4741613282046676,0.4791796770503781,0.4805621375405343
129,134,0.4843573092028475,0.4877098951594787,0.49003670903298735
129,135,0.5061154873195457,0.5107191865779208,0.5107462647903224
129,136,0.5091408714129619,0.5118708361163496,0.5130968360985755
129,137,0.5083263187292698,0.5102853224943698,0.5115809561602183
130,128,0.4917460279013343,0.49688320589201834,0.49926154853341514
130,129,0.5010350836409608,0.5090679262023207,0.5107734992161217
130,130,0.5323740548132486,0.537095818983674,0.535990966548823
130,131,0.521307457756204,0.5250314232364135,0.5265519406709633
130,132,0.5137424160672971,0.5234616240692438,0.5249259172251382
130,133,0.4950854982628628,0.5029460799358946,0.5039407423431965
130,134,0.5195550335627404,0.5210679618040662,0.5225716760604878
130,135,0.5122209961774717,0.51802066213149,0.521449214823789
130,136,0.5223308809949206,0.5254304175601948,0.5250888209470954
130,137,0.5209534838906981,0.5242605162435201,0.5273475459544557
131,128,0.5107139766871859,0.5124745190136866,0.511842179709537
131,129,0.47722254294667665,0.4826563044667207,0.4846000241330116
131,130,0.4647450921766586,0.4720630537204378,0.4719928408583912
131,131,0.4778332090654372,0.4822119881267019,0.48418092789378137
131,132,0.47152536270379686,0.4736362882337476,0.47404695756293924
131,133,0.5065041402602978,0.5081527017147687,0.5095383950301999
131,134,0.5002381293343487,0.5007576643329399,0.5032127024600321
131,135,0.4751951100997367,0.47998682131301623,0.4816659754896099
131,136,0.4696858482276042,0.4774289842188265,0.480095696826067
131,137,0.47794874878809146,0.4826236459066954,0.48266445175334055
132,128,0.49060938313798913,0.49752425603329187,0.49942447893326347
132,129,0.5011434068000465,0.5114772802182262,0.5136591905670287
132,130,0.49243368653463504,0.4946709731871747,0.49502461813567333
132,131,0.4943867142581018,0.49943009742911204,0.5000926368110364
132,132,0.500991503722399,0.5036795056449515,0.5043006081507945
132,133,0.4879048859478311,0.49622345039892235,0.4972608398450177
132,134,0.5000717139766586,0.5043962205293843,0.5037558176463861
132,135,0.49913944149764744,0.5016696738336442,0.5022186899473808
132,136,0.49987496492251343,0.5075447953569943,0.5071097567313056
132,137,0.5008581428086682,0.5064966974743556,0.5072560417534276
133,128,0.45860661786851303,0.46592272007016805,0.4681174115912735
133,129,0.4731925475213716,0.47981841446618406,0.4815376972502228
133,130,0.4764384117393595,0.4780156725034056,0.4788668107521608
133,131,0.4734097960057147,0.481843344253054,0.48411022194361586
133,132,0.4909370776265648,0.49329796564472056,0.4944316661881586
133,133,0.500443026156764,0.5004321449417748,0.500056528353605
133,134,0.4797856938470604,0.48549773443995425,0.48698569007150266
133,135,0.47863887744743233,0.48753558507589434,0.4896832845318264
133,136,0.49206157225548947,0.4998733515211787,0.5011332628890478
133,137,0.49284656646282504,0.5004406073862968,0.5038153946390485
134,128,0.5144532920612064,0.5124844137681064,0.512390274204991
134,129,0.4971825250804692,0.502990060762103,0.5050439723890398
134,130,0.5046514753145093,0.5084869678385358,0.5096315131076413
134,131,0.490845239024407,0.49584971973828795,0.49765599384279324
134,132,0.48434305824623414,0.4918218114651377,0.49343527995866276
134,133,0.48222594893696036,0.4876015729481633,0.48977249025462255
134,134,0.5045542074151312,0.5075759269241137,0.5069293196117983
134,135,0.4767196207560511,0.48145793902006917,0.4845919212928241
134,136,0.4809334934207995,0.4849989221654333,0.48746087633908014
134,137,0.4957301433648846,0.4987990003335344,0.4990355517728533
135,128,0.500956145313652,0.5004892838882233,0.49359804945803953
135,129,0.4765654347030431,0.4844007988871561,0.4859815910978481
135,130,0.47789583707846345,0.47731670872142634,0.4766633363914853
135,131,0.4839858782994121,0.486168324234601,0.48596968205200525
135,132,0.4980781469912493,0.5050288547439884,0.5076273044112355
135,133,0.5221362288249355,0.5226061603921186,0.5242491803377
135,134,0.4943677653331626,0.5003272573941415,0.49942431452644637
135,135,0.4957080230770784,0.5002037034127478,0.5052201594957053
135,136,0.5006199374952016,0.5032574676132812,0.5052718653613922
135,137,0.4953255323228662,0.4982046903568936,0.49933931928452857
136,128,0.4851252856749454,0.49614467669358076,0.4968626760537066
136,129,0.49428753493052263,0.4967707129612763,0.5001828440233899
136,130,0.473586371368335,0.48002521720649066,0.4822583261881365
136,131,0.4765026528141516,0.4858407661503996,0.48753147799790975
136,132,0.47745810748829565,0.48230696505727977,0.48089346873966204
136,133,0.4870465292661179,0.4874602032205875,0.48936469420931894
136,134,0.5036654307880866,0.5094041890608224,0.5107072572519802
136,135,0.4878098018703193,0.49329277320556797,0.496625113277687
136,136,0.4763427556113049,0.48143913481902567,0.48493245069476154
136,137,0.46256935650014375,0.46936345642624583,0.4714125328600218
137,128,0.4773836263859706,0.48099755800624866,0.4822133228808462
137,129,0.4896136246882693,0.4934772501543149,0.49506996828498895
137,130,0.46865056518832454,0.47282361638908055,0.47336987993006285
137,131,0.4845268327166442,0.4904881987075105,0.49226832539666965
137,132,0.494106400034591,0.5003395593521827,0.49919788790714364
137,133,0.4904554497640947,0.4915817878642371,0.4949005497362908
137,134,0.4848312957882396,0.4847916712131498,0.48486589238487243
